batch_id,uid_hex,ic_type,roll_id,qc_status,timestamp
PHARMA_SECURE_DEMO_001,93F11DF9F91EC5,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,9D2729C84DBC36,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,495E5069DE3763,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,A4FF9C654B3B9D,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,ABD3F01C2C147D,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,5AA1CB82C2C992,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,12DC1D7840CA33,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,E40F32947C73A6,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,1B6913718528DF,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
PHARMA_SECURE_DEMO_001,380DCFA7F7E9D6,NTAG424DNA_TT,ROLL-PHARMA-SECURE,OK,2026-03-06T00:00:00Z
