batch_id,uid_hex,ic_type,roll_id,qc_status,timestamp
DEMO-2026-02,04B7723410E2AD,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04CB16083D7F86,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04ED2F00169AB3,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04EEDDCA5A31C5,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,045B1C39780A0F,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04982787A3880B,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04CE9D4111DCD1,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04318F17E1A6E7,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,04CB31AB803599,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
DEMO-2026-02,044E5F94CE3E11,NTAG424DNA_TT,ROLL-DEMO,OK,2026-03-06T00:00:00Z
