batch_id,uid_hex,ic_type,roll_id,qc_status,timestamp
COSMETICS-SECURE-2026,04B7723401E2A0,NTAG424DNA_TT,CO-001,pass,2026-02-01T10:00:00Z
COSMETICS-SECURE-2026,04B7723402E2A1,NTAG424DNA_TT,CO-002,pass,2026-02-01T10:01:00Z
COSMETICS-SECURE-2026,04B7723403E2A2,NTAG424DNA_TT,CO-003,pass,2026-02-01T10:02:00Z
COSMETICS-SECURE-2026,04B7723404E2A3,NTAG424DNA_TT,CO-004,pass,2026-02-01T10:03:00Z
COSMETICS-SECURE-2026,04B7723405E2A4,NTAG424DNA_TT,CO-005,pass,2026-02-01T10:04:00Z
COSMETICS-SECURE-2026,04B7723406E2A5,NTAG424DNA_TT,CO-006,pass,2026-02-01T10:05:00Z
COSMETICS-SECURE-2026,04B7723407E2A6,NTAG424DNA_TT,CO-007,pass,2026-02-01T10:06:00Z
COSMETICS-SECURE-2026,04B7723408E2A7,NTAG424DNA_TT,CO-008,pass,2026-02-01T10:07:00Z
COSMETICS-SECURE-2026,04B7723409E2A8,NTAG424DNA_TT,CO-009,pass,2026-02-01T10:08:00Z
COSMETICS-SECURE-2026,04B772340AE2A9,NTAG424DNA_TT,CO-010,pass,2026-02-01T10:09:00Z
