batch_id,uid_hex,ic_type,roll_id,qc_status,timestamp
WINE_SECURE_DEMO_001,8DA4FCF637D276,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,25A69AA1620F13,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,93E8CE0DC5CD11,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,B898A1B3586A99,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,09496FEF717505,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,408781C653921D,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,FFF61D03DB3059,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,F75291524754BE,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,FDC9FF2B136044,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
WINE_SECURE_DEMO_001,06E0AE951813B6,NTAG424DNA_TT,ROLL-WINE-SECURE,OK,2026-03-06T00:00:00Z
